app,ciudad,usuarios_min,usuarios_max,usuarios_prom,conductores_min,conductores_max,conductores_prom,ratio_min,ratio_max,ratio_prom
Cabify,Barranquilla,15228,38071,26649.5,625,3125,1875.0,4.87296,60.9136,14.213066666666666
Cabify,Bogotá,123350,308375,215862.5,2912,14561,8736.5,8.471258842112492,105.89800824175825,24.708121101127453
Cabify,Bucaramanga,7360,18401,12880.5,300,1500,900.0,4.906666666666666,61.336666666666666,14.311666666666667
Cabify,Cali,15228,38071,26649.5,650,3250,1950.0,4.685538461538462,58.57076923076923,13.666410256410256
Cabify,Medellín,38832,97081,67956.5,950,4750,2850.0,8.175157894736842,102.19052631578947,23.84438596491228
DiDi,Barranquilla,91370,121827,106598.5,625,3125,1875.0,29.2384,194.9232,56.852533333333334
DiDi,Bogotá,740101,986802,863451.5,2912,14561,8736.5,50.827621729276835,338.8743131868132,98.83265609797974
DiDi,Bucaramanga,44162,58883,51522.5,300,1500,900.0,29.441333333333333,196.27666666666667,57.24722222222222
DiDi,Cali,91370,121827,106598.5,650,3250,1950.0,28.113846153846154,187.42615384615385,54.665897435897435
DiDi,Medellín,232994,310659,271826.5,950,4750,2850.0,49.05136842105263,327.00947368421055,95.37771929824561
TaxisLibres,Barranquilla,7614,22842,15228.0,5000,8750,6875.0,0.8701714285714286,4.5684,2.214981818181818
TaxisLibres,Bogotá,61675,185025,123350.0,23298,40772,32035.0,1.5126802707740605,7.941668812773629,3.8504760418292494
TaxisLibres,Bucaramanga,3680,11040,7360.0,2400,4200,3300.0,0.8761904761904762,4.6,2.2303030303030305
TaxisLibres,Cali,7614,22842,15228.0,5200,9100,7150.0,0.8367032967032967,4.3926923076923075,2.12979020979021
TaxisLibres,Medellín,19416,58248,38832.0,7600,13300,10450.0,1.4598496240601504,7.66421052631579,3.7159808612440193
Uber,Barranquilla,68527,98984,83755.5,625,3125,1875.0,21.92864,158.3744,44.6696
Uber,Bogotá,555076,801776,678426.0,2912,14561,8736.5,38.1207334661081,275.33516483516485,77.654209351571
Uber,Bucaramanga,33121,47842,40481.5,300,1500,900.0,22.080666666666666,159.47333333333333,44.97944444444445
Uber,Cali,68527,98984,83755.5,650,3250,1950.0,21.08523076923077,152.28307692307692,42.95153846153846
Uber,Medellín,174746,252411,213578.5,950,4750,2850.0,36.78863157894737,265.6957894736842,74.93982456140351
inDrive,Barranquilla,190355,236040,213197.5,625,3125,1875.0,60.9136,377.664,113.70533333333333
inDrive,Bogotá,1541878,1911928,1726903.0,2912,14561,8736.5,105.8909415562118,656.5686813186813,197.66531219595947
inDrive,Bucaramanga,92005,114086,103045.5,300,1500,900.0,61.336666666666666,380.2866666666667,114.495
inDrive,Cali,190355,236040,213197.5,650,3250,1950.0,58.57076923076923,363.1384615384615,109.33205128205128
inDrive,Medellín,485406,601903,543654.5,950,4750,2850.0,102.19073684210527,633.5821052631579,190.7559649122807
